,sender prefixes,nb of bytes,% of traffic (bytes)
28,110.206.0.0,1031999701,0.03228408316121365
3936,196.111.0.0,1023872135,0.03202982822646125
1135,172.123.0.0,1014814811,0.0317464876392976
153,114.220.0.0,1012507677,0.0316743134847432
87,101.209.0.0,997220702,0.031196090504925313
28481,63.18.0.0,982825992,0.030745780282673073
54,96.73.0.0,981040212,0.030689915663747534
3164,203.157.0.0,976535419,0.030548992064937254
18,197.122.0.0,968009527,0.030282276283833044
6884,46.115.0.0,942583920,0.029486886120428015
3316,73.152.0.0,941160698,0.02944236341624472
88,133.150.0.0,938504456,0.02935926810377398
2173,110.207.0.0,937297156,0.029321500095156564
5039,111.70.0.0,924027339,0.028906379940424966
3461,137.74.0.0,922764609,0.0288668779131563
3589,46.121.0.0,919601039,0.028767911840910973
3185,169.54.0.0,918164008,0.028722957149292083
2178,54.194.0.0,912763067,0.02855399932088976
9388,134.8.0.0,911172613,0.028504245092133357
15,109.41.0.0,906089285,0.02834522316244801
2921,103.205.0.0,904581697,0.028298061233701627
1145,5.136.0.0,876881301,0.02743150876552165
5633,204.44.0.0,860753128,0.02692697055890599
1936,5.103.0.0,855928933,0.026776055096028435
26145,113.56.0.0,854545722,0.026732784057373837
4483,207.180.0.0,850636723,0.026610498703346298
2358,199.158.0.0,849417899,0.026572370189029137
2338,24.25.0.0,844917652,0.026431588802897706
120,192.30.0.0,819425417,0.0256341143134112
2333,46.100.0.0,817947779,0.02558788931157453
12164,16.199.0.0,815525356,0.025512108567153906
2375,62.241.0.0,812088005,0.025404577794198496
8957,140.224.0.0,806570942,0.025231987317161475
4413,112.115.0.0,805793455,0.025207665163830967
1966,192.112.0.0,804347145,0.025162420196926757
3230,129.84.0.0,803530203,0.02513686377143523
5858,103.231.0.0,802639614,0.025109003444236874
1183,150.184.0.0,792245369,0.024783839910126483
4477,16.203.0.0,791990250,0.02477585901342271
2165,104.98.0.0,790182896,0.02471931949429183
2432,198.68.0.0,778734433,0.024361176821186468
903,98.60.0.0,772546686,0.024167605312846903
2102,168.116.0.0,760154802,0.02377994956721785
1167,62.228.0.0,751156728,0.02349846249990061
2148,2.101.0.0,744568408,0.023292359852228734
2365,125.0.0.0,742170112,0.02321733387360279
2296,73.16.0.0,726248144,0.022719246385298195
10451,126.36.0.0,717776129,0.022454216040291294
7209,196.131.0.0,708508346,0.022164291656784053
49,103.180.0.0,706071682,0.02208806541065655
9288,123.198.0.0,700753455,0.02192169512724286
33,103.176.0.0,697818867,0.021829892307005515
2748,96.28.0.0,692214000,0.02165455505432976
2082,213.31.0.0,692032326,0.02164887174015966
4640,166.208.0.0,690684402,0.021606704585974607
3808,169.60.0.0,690667475,0.021606175058034686
5318,99.182.0.0,688151194,0.021527458150479125
5954,117.247.0.0,687923078,0.021520321989579788
104,166.242.0.0,687247592,0.02149919073714134
3337,212.70.0.0,682331264,0.021345393074364883
8861,193.22.0.0,677934373,0.021207844977638456
99,122.200.0.0,674264895,0.02109305256752879
2902,46.95.0.0,666898870,0.020862620946824686
14522,178.88.0.0,649254799,0.020310660849438614
24621,98.154.0.0,628592232,0.019664273034882312
2292,110.205.0.0,626415313,0.01959617240078026
140,166.183.0.0,625857409,0.01957871947020817
4451,111.47.0.0,616863092,0.019297349933254864
27057,135.145.0.0,607927658,0.019017822435273994
