,sp,ibyt
48597,55603,83634333
49689,56695,83627808
43982,50988,83622584
56816,63823,83483649
48308,55314,83412075
45681,52687,83394760
49385,56391,83327299
34952,41739,83240947
4774,6177,83235024
48087,55093,83168194
58377,65384,83073776
48963,55969,83035301
7970,10158,83034012
59338,8715,82896166
6234,8002,82785319
45389,52395,82389092
42357,49363,82349927
54316,61323,82286466
26932,33445,82199575
34899,41683,82139774
36002,42821,81967032
25200,31420,81802539
36226,43050,81685611
57330,64337,81198166
50337,57344,81075986
49971,56978,80968845
42441,49447,80771707
58340,65347,80608101
3907,5108,80521595
42217,49223,80464209
52287,59294,80290764
47866,54872,80230151
55689,62696,80170959
42356,49362,80161770
43536,50542,79781813
45575,52581,79742675
45756,52762,79533085
46798,53804,79376382
24664,30774,78799751
45100,52106,78762399
45312,52318,78748539
49921,56928,78205416
43539,50545,77462178
16,81,77346530
53568,60575,77339081
108,1080,77250797
32815,39523,77028295
44680,51686,76905910
9761,12386,76799700
45726,52732,76368266
48053,55059,76207252
57199,64206,76049472
55954,62961,75955429
43112,50118,75943672
16026,20075,75830303
44810,51816,75750589
45023,52029,75739090
45406,52412,75649405
42208,49214,75646949
35205,42001,75587052
54894,61901,75430589
50685,57692,75341063
41942,48939,75320769
64225,21388,75114587
32827,39536,75066644
56473,63480,74955012
32710,39412,74744921
44362,51368,74729732
52258,59265,74723763
45907,52913,74529560
32821,39530,74501084
46794,53800,74347010
42964,49970,74288211
2943,4080,74282983
42447,49453,74116289
49440,56446,74111827
52950,59957,73825449
45348,52354,73597447
21320,26590,73560127
48883,55889,73448447
45515,52521,73188977
45411,52417,73156848
45834,52840,72802158
10474,13216,72772081
62836,30046,72757134
45033,52039,72714406
45466,52472,72606825
2361,3484,72468012
63484,39375,72413447
35614,42420,72097211
64851,459,72092500
45727,52733,72055661
49830,56837,71732440
49120,56126,71731264
52824,59831,71718139
52318,59325,71435630
53313,60320,71404652
43540,50546,71309549
46928,53934,71287962
52734,59741,70927982
225,1203,70832068
53211,60218,70772861
53705,60712,70416690
45366,52372,70295951
24045,30003,69524099
3518,4683,69492222
42445,49451,69483167
45720,52726,69429016
11215,14151,69298940
44890,51896,69275391
24062,30023,69239201
37114,43969,68957773
45407,52413,68873678
53707,60714,68822269
42997,50003,68702261
52393,59400,68683328
24085,30052,68658814
58213,65220,68621469
44329,51335,68572766
24076,30040,68530382
42339,49345,68501086
5219,6739,68412682
32745,39450,68284744
47752,54758,68279310
46933,53939,68270497
58996,6579,68224366
9126,11588,68075177
44345,51351,67891245
44343,51349,67609265
45728,52734,67578753
55918,62925,67483979
45636,52642,67478891
21147,26381,67298335
51330,58337,67014927
185,1162,66769382
33314,40042,66661390
50535,57542,66639928
44147,51153,66613934
37707,44574,66394107
